,location,trap_type,count,year,doy
1,Cinnaminson,Pheromone,3,2013,163
2,Cinnaminson,Pheromone,3,2013,164
3,Cinnaminson,Pheromone,2,2013,165
4,Cinnaminson,Pheromone,2,2013,166
5,Cinnaminson,Pheromone,2,2013,167
6,Cinnaminson,Pheromone,0,2013,171
7,Cinnaminson,Pheromone,1,2013,172
8,Cinnaminson,Pheromone,1,2013,173
9,Cinnaminson,Pheromone,1,2013,174
10,Cinnaminson,Pheromone,0,2013,175
11,Cinnaminson,Pheromone,0,2013,176
12,Cinnaminson,Pheromone,1,2013,177
13,Cinnaminson,Pheromone,0,2013,178
14,Cinnaminson,Pheromone,0,2013,179
15,Cinnaminson,Pheromone,0,2013,180
16,Cinnaminson,Pheromone,0,2013,181
17,Cinnaminson,Pheromone,0,2013,182
18,Cinnaminson,Pheromone,0,2013,183
19,Cinnaminson,Pheromone,0,2013,184
20,Cinnaminson,Pheromone,0,2013,185
21,Cinnaminson,Pheromone,0,2013,186
22,Cinnaminson,Pheromone,0,2013,187
23,Cinnaminson,Pheromone,0,2013,188
24,Cinnaminson,Pheromone,0,2013,189
25,Cinnaminson,Pheromone,0,2013,190
26,Cinnaminson,Pheromone,1,2013,191
27,Cinnaminson,Pheromone,1,2013,192
28,Cinnaminson,Pheromone,0,2013,193
29,Cinnaminson,Pheromone,1,2013,194
30,Cinnaminson,Pheromone,1,2013,195
31,Cinnaminson,Pheromone,0,2013,196
32,Cinnaminson,Pheromone,0,2013,197
33,Cinnaminson,Pheromone,0,2013,198
34,Cinnaminson,Pheromone,0,2013,199
35,Cinnaminson,Pheromone,0,2013,200
36,Cinnaminson,Pheromone,0,2013,201
37,Cinnaminson,Pheromone,0,2013,202
38,Cinnaminson,Pheromone,0,2013,203
39,Cinnaminson,Pheromone,0,2013,204
40,Cinnaminson,Pheromone,0,2013,205
41,Cinnaminson,Pheromone,0,2013,206
42,Cinnaminson,Pheromone,0,2013,207
43,Cinnaminson,Pheromone,0,2013,208
44,Cinnaminson,Pheromone,0,2013,209
45,Cinnaminson,Pheromone,0,2013,210
46,Cinnaminson,Pheromone,0,2013,211
47,Cinnaminson,Pheromone,0,2013,212
48,Cinnaminson,Pheromone,0,2013,213
49,Cinnaminson,Pheromone,0,2013,214
50,Cinnaminson,Pheromone,0,2013,215
51,Cinnaminson,Pheromone,0,2013,216
52,Cinnaminson,Pheromone,0,2013,217
53,Cinnaminson,Pheromone,0,2013,218
54,Cinnaminson,Pheromone,0,2013,219
55,Cinnaminson,Pheromone,0,2013,220
56,Cinnaminson,Pheromone,0,2013,221
57,Cinnaminson,Pheromone,0,2013,222
58,Cinnaminson,Pheromone,0,2013,223
59,Cinnaminson,Pheromone,0,2013,224
60,Cinnaminson,Pheromone,0,2013,225
61,Cinnaminson,Pheromone,0,2013,226
62,Cinnaminson,Pheromone,0,2013,227
63,Cinnaminson,Pheromone,0,2013,228
64,Cinnaminson,Pheromone,0,2013,229
65,Cinnaminson,Pheromone,0,2013,230
66,Cinnaminson,Pheromone,0,2013,231
67,Cinnaminson,Pheromone,0,2013,232
68,Cinnaminson,Pheromone,0,2013,233
69,Cinnaminson,Pheromone,0,2013,234
70,Cinnaminson,Pheromone,0,2013,235
71,Cinnaminson,Pheromone,0,2013,236
72,Cinnaminson,Pheromone,0,2013,237
73,Cinnaminson,Pheromone,0,2013,238
74,Cinnaminson,Pheromone,0,2013,239
75,Cinnaminson,Pheromone,0,2013,240
76,Cinnaminson,Pheromone,0,2013,241
77,Cinnaminson,Pheromone,0,2013,242
78,Cinnaminson,Pheromone,0,2013,243
79,Cinnaminson,Pheromone,0,2013,244
80,Cinnaminson,Pheromone,0,2013,245
81,Cinnaminson,Pheromone,0,2013,246
82,Cinnaminson,Pheromone,0,2013,247
83,Cinnaminson,Pheromone,0,2013,248
84,Cinnaminson,Pheromone,0,2013,249
85,Cinnaminson,Pheromone,0,2013,250
86,Cinnaminson,Pheromone,0,2013,251
87,Elm D.,Pheromone,19,2013,157
88,Elm D.,Pheromone,19,2013,158
89,Elm D.,Pheromone,19,2013,159
90,Elm D.,Pheromone,19,2013,160
91,Elm D.,Pheromone,19,2013,161
92,Elm D.,Pheromone,17,2013,162
93,Elm D.,Pheromone,17,2013,163
94,Elm D.,Pheromone,17,2013,164
95,Elm D.,Pheromone,13,2013,165
96,Elm D.,Pheromone,13,2013,166
97,Elm D.,Pheromone,13,2013,167
98,Elm D.,Pheromone,2,2013,171
99,Elm D.,Pheromone,2,2013,172
100,Elm D.,Pheromone,2,2013,173
101,Elm D.,Pheromone,4,2013,174
102,Elm D.,Pheromone,3,2013,175
103,Elm D.,Pheromone,3,2013,176
104,Elm D.,Pheromone,4,2013,177
105,Elm D.,Pheromone,8,2013,178
106,Elm D.,Pheromone,8,2013,179
107,Elm D.,Pheromone,8,2013,180
108,Elm D.,Pheromone,8,2013,181
109,Elm D.,Pheromone,7,2013,182
110,Elm D.,Pheromone,7,2013,183
111,Elm D.,Pheromone,7,2013,184
112,Elm D.,Pheromone,7,2013,185
113,Elm D.,Pheromone,1,2013,186
114,Elm D.,Pheromone,1,2013,187
115,Elm D.,Pheromone,2,2013,188
116,Elm D.,Pheromone,2,2013,189
117,Elm D.,Pheromone,2,2013,190
118,Elm D.,Pheromone,2,2013,191
119,Elm D.,Pheromone,2,2013,192
120,Elm D.,Pheromone,2,2013,193
121,Elm D.,Pheromone,2,2013,194
122,Elm D.,Pheromone,3,2013,195
123,Elm D.,Pheromone,7,2013,196
124,Elm D.,Pheromone,7,2013,197
125,Elm D.,Pheromone,8,2013,198
126,Elm D.,Pheromone,8,2013,199
127,Elm D.,Pheromone,8,2013,200
128,Elm D.,Pheromone,8,2013,201
129,Elm D.,Pheromone,9,2013,202
130,Elm D.,Pheromone,11,2013,203
131,Elm D.,Pheromone,11,2013,204
132,Elm D.,Pheromone,12,2013,205
133,Elm D.,Pheromone,5,2013,206
134,Elm D.,Pheromone,5,2013,207
135,Elm D.,Pheromone,6,2013,208
136,Elm D.,Pheromone,6,2013,209
137,Elm D.,Pheromone,4,2013,210
138,Elm D.,Pheromone,4,2013,211
139,Elm D.,Pheromone,4,2013,212
140,Elm D.,Pheromone,1,2013,213
141,Elm D.,Pheromone,1,2013,214
142,Elm D.,Pheromone,1,2013,215
143,Elm D.,Pheromone,2,2013,216
144,Elm D.,Pheromone,3,2013,217
145,Elm D.,Pheromone,3,2013,218
146,Elm D.,Pheromone,3,2013,219
147,Elm D.,Pheromone,10,2013,220
148,Elm D.,Pheromone,10,2013,221
149,Elm D.,Pheromone,10,2013,222
150,Elm D.,Pheromone,10,2013,223
151,Elm D.,Pheromone,8,2013,224
152,Elm D.,Pheromone,10,2013,225
153,Elm D.,Pheromone,10,2013,226
154,Elm D.,Pheromone,1,2013,227
155,Elm D.,Pheromone,1,2013,228
156,Elm D.,Pheromone,2,2013,229
157,Elm D.,Pheromone,2,2013,230
158,Elm D.,Pheromone,2,2013,231
159,Elm D.,Pheromone,2,2013,232
160,Elm D.,Pheromone,2,2013,233
161,Elm D.,Pheromone,2,2013,234
162,Elm D.,Pheromone,2,2013,235
163,Elm D.,Pheromone,2,2013,236
164,Elm D.,Pheromone,2,2013,237
165,Elm D.,Pheromone,7,2013,238
166,Elm D.,Pheromone,7,2013,239
167,Elm D.,Pheromone,8,2013,240
168,Elm D.,Pheromone,6,2013,241
169,Elm D.,Pheromone,6,2013,242
170,Elm D.,Pheromone,6,2013,243
171,Elm D.,Pheromone,6,2013,244
172,Elm D.,Pheromone,6,2013,245
173,Elm D.,Pheromone,0,2013,246
174,Elm D.,Pheromone,1,2013,247
175,Elm D.,Pheromone,1,2013,248
176,Elm D.,Pheromone,0,2013,249
177,Elm D.,Pheromone,0,2013,250
178,Elm D.,Pheromone,0,2013,251
179,Springdale,Pheromone,2,2013,152
180,Springdale,Pheromone,2,2013,153
181,Springdale,Pheromone,2,2013,154
182,Springdale,Pheromone,3,2013,155
183,Springdale,Pheromone,3,2013,156
184,Springdale,Pheromone,4,2013,157
185,Springdale,Pheromone,4,2013,158
186,Springdale,Pheromone,4,2013,159
187,Springdale,Pheromone,4,2013,160
188,Springdale,Pheromone,5,2013,161
189,Springdale,Pheromone,4,2013,162
190,Springdale,Pheromone,4,2013,163
191,Springdale,Pheromone,4,2013,164
192,Springdale,Pheromone,1,2013,165
193,Springdale,Pheromone,1,2013,166
194,Springdale,Pheromone,12,2013,167
195,Springdale,Pheromone,0,2013,171
196,Springdale,Pheromone,0,2013,172
197,Springdale,Pheromone,0,2013,173
198,Springdale,Pheromone,1,2013,174
199,Springdale,Pheromone,2,2013,175
200,Springdale,Pheromone,3,2013,176
201,Springdale,Pheromone,3,2013,177
202,Springdale,Pheromone,0,2013,178
203,Springdale,Pheromone,2,2013,179
204,Springdale,Pheromone,2,2013,180
205,Springdale,Pheromone,2,2013,181
206,Springdale,Pheromone,0,2013,182
207,Springdale,Pheromone,0,2013,183
208,Springdale,Pheromone,0,2013,184
209,Springdale,Pheromone,0,2013,185
210,Springdale,Pheromone,0,2013,186
211,Springdale,Pheromone,1,2013,187
212,Springdale,Pheromone,1,2013,188
213,Springdale,Pheromone,0,2013,189
214,Springdale,Pheromone,0,2013,190
215,Springdale,Pheromone,0,2013,191
216,Springdale,Pheromone,0,2013,192
217,Springdale,Pheromone,1,2013,193
218,Springdale,Pheromone,1,2013,194
219,Springdale,Pheromone,2,2013,195
220,Springdale,Pheromone,0,2013,196
221,Springdale,Pheromone,0,2013,197
222,Springdale,Pheromone,0,2013,198
223,Springdale,Pheromone,5,2013,199
224,Springdale,Pheromone,5,2013,200
225,Springdale,Pheromone,5,2013,201
226,Springdale,Pheromone,6,2013,202
227,Springdale,Pheromone,7,2013,203
228,Springdale,Pheromone,7,2013,204
229,Springdale,Pheromone,7,2013,205
230,Springdale,Pheromone,3,2013,206
231,Springdale,Pheromone,3,2013,207
232,Springdale,Pheromone,3,2013,208
233,Springdale,Pheromone,3,2013,209
234,Springdale,Pheromone,0,2013,210
235,Springdale,Pheromone,0,2013,211
236,Springdale,Pheromone,0,2013,212
237,Springdale,Pheromone,3,2013,213
238,Springdale,Pheromone,3,2013,214
239,Springdale,Pheromone,3,2013,215
240,Springdale,Pheromone,3,2013,216
241,Springdale,Pheromone,0,2013,217
242,Springdale,Pheromone,1,2013,218
243,Springdale,Pheromone,1,2013,219
244,Springdale,Pheromone,7,2013,220
245,Springdale,Pheromone,7,2013,221
246,Springdale,Pheromone,8,2013,222
247,Springdale,Pheromone,8,2013,223
248,Springdale,Pheromone,7,2013,224
249,Springdale,Pheromone,7,2013,225
250,Springdale,Pheromone,7,2013,226
251,Springdale,Pheromone,0,2013,227
252,Springdale,Pheromone,0,2013,228
253,Springdale,Pheromone,0,2013,229
254,Springdale,Pheromone,0,2013,230
255,Springdale,Pheromone,4,2013,231
256,Springdale,Pheromone,5,2013,232
257,Springdale,Pheromone,5,2013,233
258,Springdale,Pheromone,20,2013,234
259,Springdale,Pheromone,20,2013,235
260,Springdale,Pheromone,20,2013,236
261,Springdale,Pheromone,20,2013,237
262,Springdale,Pheromone,11,2013,238
263,Springdale,Pheromone,11,2013,239
264,Springdale,Pheromone,12,2013,240
265,Springdale,Pheromone,30,2013,241
266,Springdale,Pheromone,30,2013,242
267,Springdale,Pheromone,30,2013,243
268,Springdale,Pheromone,31,2013,244
269,Springdale,Pheromone,31,2013,245
270,Springdale,Pheromone,12,2013,246
271,Springdale,Pheromone,13,2013,247
272,Springdale,Pheromone,13,2013,248
273,Springdale,Pheromone,8,2013,249
274,Springdale,Pheromone,8,2013,250
275,Springdale,Pheromone,8,2013,251
276,Springdale,Pheromone,4,2013,252
277,Springdale,Pheromone,5,2013,253
278,Springdale,Pheromone,5,2013,254
279,Springdale,Pheromone,3,2013,255
280,Springdale,Pheromone,3,2013,256
281,Springdale,Pheromone,3,2013,257
282,Springdale,Pheromone,3,2013,258
283,Springdale,Pheromone,1,2013,259
284,Springdale,Pheromone,1,2013,260
285,Springdale,Pheromone,2,2013,261
286,Springdale,Pheromone,1,2013,262
287,Springdale,Pheromone,1,2013,263
288,Springdale,Pheromone,1,2013,264
289,Springdale,Pheromone,1,2013,265
290,Springdale,Pheromone,0,2013,266
291,Springdale,Pheromone,0,2013,267
292,Springdale,Pheromone,1,2013,268
293,Springdale,Pheromone,1,2013,269
294,Springdale,Pheromone,1,2013,270
295,Springdale,Pheromone,1,2013,271
296,Springdale,Pheromone,1,2013,272
297,Springdale,Pheromone,1,2013,273
298,Springdale,Pheromone,1,2013,274
299,Springdale,Pheromone,2,2013,275
300,Hammonton D-2,Pheromone,7,2013,199
301,Hammonton D-2,Pheromone,7,2013,200
302,Hammonton D-2,Pheromone,7,2013,201
303,Hammonton D-2,Pheromone,7,2013,202
304,Hammonton D-2,Pheromone,9,2013,203
305,Hammonton D-2,Pheromone,10,2013,204
306,Hammonton D-2,Pheromone,10,2013,205
307,Hammonton D-2,Pheromone,6,2013,206
308,Hammonton D-2,Pheromone,7,2013,207
309,Hammonton D-2,Pheromone,7,2013,208
310,Hammonton D-2,Pheromone,7,2013,209
311,Hammonton D-2,Pheromone,16,2013,210
312,Hammonton D-2,Pheromone,17,2013,211
313,Hammonton D-2,Pheromone,17,2013,212
314,Hammonton D-2,Pheromone,11,2013,213
315,Hammonton D-2,Pheromone,11,2013,214
316,Hammonton D-2,Pheromone,11,2013,215
317,Hammonton D-2,Pheromone,12,2013,216
318,Hammonton D-2,Pheromone,6,2013,217
319,Hammonton D-2,Pheromone,6,2013,218
320,Hammonton D-2,Pheromone,6,2013,219
321,Hammonton D-2,Pheromone,49,2013,220
322,Hammonton D-2,Pheromone,50,2013,221
323,Hammonton D-2,Pheromone,50,2013,222
324,Hammonton D-2,Pheromone,50,2013,223
325,Hammonton D-2,Pheromone,21,2013,224
326,Hammonton D-2,Pheromone,21,2013,225
327,Hammonton D-2,Pheromone,22,2013,226
328,Hammonton D-2,Pheromone,7,2013,227
329,Hammonton D-2,Pheromone,7,2013,228
330,Hammonton D-2,Pheromone,7,2013,229
331,Hammonton D-2,Pheromone,7,2013,230
332,Hammonton D-2,Pheromone,9,2013,231
333,Hammonton D-2,Pheromone,9,2013,232
334,Hammonton D-2,Pheromone,10,2013,233
335,Hammonton D-2,Pheromone,32,2013,234
336,Hammonton D-2,Pheromone,32,2013,235
337,Hammonton D-2,Pheromone,32,2013,236
338,Hammonton D-2,Pheromone,32,2013,237
339,Hammonton D-2,Pheromone,57,2013,238
340,Hammonton D-2,Pheromone,57,2013,239
341,Hammonton D-2,Pheromone,57,2013,240
342,Hammonton D-2,Pheromone,37,2013,241
343,Hammonton D-2,Pheromone,37,2013,242
344,Hammonton D-2,Pheromone,37,2013,243
345,Hammonton D-2,Pheromone,38,2013,244
346,Hammonton D-2,Pheromone,38,2013,245
347,Hammonton D-2,Pheromone,28,2013,246
348,Hammonton D-2,Pheromone,28,2013,247
349,Hammonton D-2,Pheromone,29,2013,248
350,Hammonton D-2,Pheromone,5,2013,249
351,Hammonton D-2,Pheromone,6,2013,250
352,Hammonton D-2,Pheromone,6,2013,251
353,Hammonton D-2,Pheromone,10,2013,252
354,Hammonton D-2,Pheromone,11,2013,253
355,Hammonton D-2,Pheromone,11,2013,254
356,Hammonton D-2,Pheromone,7,2013,255
357,Hammonton D-2,Pheromone,8,2013,256
358,Hammonton D-2,Pheromone,8,2013,257
359,Hammonton D-2,Pheromone,8,2013,258
360,Hammonton D-2,Pheromone,0,2013,259
361,Hammonton D-2,Pheromone,0,2013,260
362,Hammonton D-2,Pheromone,1,2013,261
363,Hammonton D-2,Pheromone,2,2013,262
364,Hammonton D-2,Pheromone,2,2013,263
365,Hammonton D-2,Pheromone,2,2013,264
366,Hammonton D-2,Pheromone,2,2013,265
367,Hammonton D-2,Pheromone,0,2013,266
368,Hammonton D-2,Pheromone,0,2013,267
369,Hammonton D-2,Pheromone,0,2013,268
370,Hammonton D-2,Pheromone,0,2013,269
